date    close
1-May-12    77.7
30-Apr-12   98.2
27-Apr-12   84.8
26-Apr-12   60.5
25-Apr-12   57.8
24-Apr-12   87.1
23-Apr-12   77.6
20-Apr-12   97.9
19-Apr-12   73.6
18-Apr-12   56.8
17-Apr-12   57.6
16-Apr-12   84.0
13-Apr-12   87.9
12-Apr-12   52.2
11-Apr-12   59.4
10-Apr-12   90.0
9-Apr-12    86.0
5-Apr-12    84.3
4-Apr-12    70.7
3-Apr-12    59.4
2-Apr-12    61.3
30-Mar-12   91.4
29-Mar-12   84.7
28-Mar-12   63.4
27-Mar-12   95.6
26-Mar-12   93.7
23-Mar-12   98.9
22-Mar-12   67.9
21-Mar-12   58.1
20-Mar-12   61.8
19-Mar-12   77.3
16-Mar-12   92.0
15-Mar-12   77.1
14-Mar-12   59.0
13-Mar-12   52.2
12-Mar-12   69.6
9-Mar-12    67.2
8-Mar-12    78.7
7-Mar-12    70.5
6-Mar-12    60.6
5-Mar-12    53.9
2-Mar-12    66.2
1-Mar-12    57.9
29-Feb-12   97.8
28-Feb-12   99.4
27-Feb-12   63.1
24-Feb-12   74.3
23-Feb-12   62.5
22-Feb-12   89.7
21-Feb-12   90.3
17-Feb-12   54.6
16-Feb-12   76.7
15-Feb-12   61.0
14-Feb-12   50.5
13-Feb-12   50.3
10-Feb-12   87.6
9-Feb-12    63.6
8-Feb-12    96.7
7-Feb-12    95.2
6-Feb-12    96.9
3-Feb-12    80.9
2-Feb-12    98.5
1-Feb-12    62.0
